"","Treatment","CP_Ratio","CopyNum"
"1","310-1-20",1.22171042530324,1.1553672985998
"2","310-1-39",1.2321125019317,1.14444838813657
"3","310-1-45",1.19984662576687,1.1818375986462
"4","310-1-46",1.14735074057108,1.24576325593254
"5","310-2-1",1.16534822398014,1.22524197941506
"6","310-2-29",1.22222222222222,1.15908061776587
"7","310-2-30",1.20136899076727,1.18702144589868
"8","310-2-40",1.2891418025223,1.0737836652306
"9","310-2-42",1.1717032967033,1.21564323729125
"10","310-3-13",1.2537034149384,1.12134008301971
"11","310-3-27",1.23645166328284,1.1421642987243
"12","310-3-41",1.20643729189789,1.18051474867468
"13","310-3-8",1.21418372203713,1.17179183497945
"14","310-4-20",1.16158348736907,1.22906672481465
"15","310-4-22",1.15134217834002,1.24159144014049
"16","310-4-3",1.24432782836857,1.12936472678809
"17","310-4-43",1.18205601723607,1.20410783989174
"18","310-4-44",1.21270543615677,1.1726572494811
"19","310-4-6",1.23185896426885,1.14961323768206
"20","310-5-14",1.25906332659094,1.11428227252051
"21","310-5-31",1.26440410418311,1.11280325240698
"22","310-5-40",1.27474402730375,1.09456676213218
"23","312-1-29",1.23232806765597,1.15250732500596
"24","312-1-3",1.2432735426009,1.14114952001481
"25","312-1-32",1.20123647604328,1.18166131940874
"26","312-1-36",1.27617529880478,1.10257998406811
"27","312-1-38",1.1869144284822,1.20051731148492
"28","312-1-43",1.25140712945591,1.12487790566625
"29","312-1-5",1.22782446311858,1.1514193315273
"30","312-1-8",1.206132879046,1.17618459136883
"31","312-2-11",1.25190718372537,1.12924400499657
"32","312-2-13",1.27048784414748,1.11239030897608
"33","312-2-39",1.18682671591259,1.19831459243549
"34","312-2-43",1.16352977476087,1.22686421491082
"35","312-2-7",1.16191649976891,1.22867638909833
"36","312-3-1",1.15922089967538,1.23225645277499
"37","312-3-29",1.2316148010528,1.14554980824215
"38","312-3-37",1.19923195084485,1.18288882327855
"39","312-3-8",1.19110115236876,1.19950206598936
"40","312-4-1",1.18834981458591,1.19712493683518
"41","312-4-11",1.16841147018662,1.2189993645821
"42","312-4-12",1.21294230156201,1.17415826924157
"43","312-4-14",1.18332301980198,1.20336619336167
"44","312-4-20",1.24763257575758,1.13209984160563
"45","312-4-38",1.26586485203355,1.11195865359131
"46","312-4-43",1.17685039370079,1.21347243185652
"47","312-5-11",1.28731762065095,1.09221273233698
"48","312-5-26",1.21546078901134,1.17174495351809
"49","312-5-39",1.19661016949153,1.18666087800022
"50","312-5-6",1.23676923076923,1.13756418327578
"51","314-1-10",1.20335905583295,1.17469383974062
"52","314-1-13",1.21202082347373,1.1730837748585
"53","314-1-25",1.17724701445632,1.21273036297463
"54","314-1-42",1.25977341630764,1.12153376512316
"55","314-1-48",1.23651259854692,1.13923837522945
"56","314-2-14",1.19281097272584,1.1951605407764
"57","314-2-35",1.2281568877551,1.15702467743604
"58","314-2-7",1.19509881422925,1.19299691550173
"59","314-2-9",1.22258927166903,1.16021560237291
"60","314-3-1",1.17325509573811,1.21522891950573
"61","314-3-17",1.2427800698191,1.13919109898746
"62","314-3-2",1.40757341576507,0.933267307371974
"63","314-3-42",1.21458266709306,1.17296261255668
"64","314-3-47",1.27141497461929,1.10640484395519
"65","314-3-8",1.26487341772152,1.11304386243947
"66","314-4-14",1.16939719369757,1.22161352183026
"67","314-4-28",1.19796793141768,1.19041420889571
"68","314-4-30",1.27058635052868,1.11065321247602
"69","314-4-34",1.22685478757134,1.15713721284642
"70","314-4-35",1.16786720952082,1.22327678126513
"71","314-4-37",1.1981843360517,1.18448829153993
"72","314-5-27",1.22436094856791,1.15288108481477
"73","314-5-42",1.22071574964528,1.16289807053081
"74","314-5-49",1.20159027128157,1.18292076854209
"75","315",1.18431497063026,1.20597896635356
"76","318",1.16435008400794,1.22481301033646
"77","319",1.16562832396292,1.22265475889717
"78","320",1.17278451850714,1.21511509212474
