301-1-15,,,,,,,,
301-1-15,,,B2,20.14,std1,,2x2,0.01
301-1-15,,,B3,19.87,std1,,2x2,0.01
301-1-27,,,B4,20.05,std1,,2x2,0.01
301-1-27,,,B5,23.31,std2,,2x2,0.001
301-1-27,,,B6,23.93,std2,,2x2,0.001
301-1-28,,,B7,24.16,std2,,2x2,0.001
301-1-28,,,B8,27.81,std3,,2x2,0.0001
301-1-28,,,B9,28.46,std3,,2x2,0.0001
301-1-33,,,B10,28.73,std3,,2x2,0.0001
301-1-33,,,B11,31.18,std4,,2x2,0.00001
301-1-33,,,B12,30.81,std4,,2x2,0.00001
301-1-35,,,B13,31.99,std4,,2x2,0.00001
301-1-35,,,B14,30.29,std5,,2x2,0.000001
301-1-35,,,B15,29.92,std5,,2x2,0.000001
301-1-38,,,B16,30.68,std5,,2x2,0.000001
301-1-38,,,,,,,,
301-1-38,,,,,,,,
301-1-39,,,,,,,,
301-1-39,,,,,,,,
301-1-39,,,,,,,,
301-1-40,,,B20,40,std2,,2x2,0.001
301-1-40,,,,,,,,
301-1-40,,,,,,,,
301-1-43,,,,,,,,
301-1-43,,,,,,,,
301-1-43,,,,,,,,
301-1-48,,,,,,,,
301-1-48,,,,,,,,
301-1-48,,,,,,,,
301-2-20,,,,,,,,
301-2-20,,,,,,,,
301-2-20,,,,,,,,
301-2-25,,,,,,,,
301-2-25,,,,,,,,
301-2-25,,,,,,,,
301-2-36,,,,,,,,
301-2-36,,,,,,,,
301-2-36,,,,,,,,
301-2-37,,,,,,,,
301-2-37,,,,,,,,
301-2-37,,,,,,,,
301-3-10,,,,,,,,
301-3-10,,,,,,,,
301-3-10,,,,,,,,
301-3-27,,,,,,,,
301-3-27,,,,,,,,
301-3-27,,,,,,,,
301-3-31,,,,,,,,
301-3-31,,,,,,,,
301-3-31,,,,,,,,
301-3-34,,,,,,,,
301-3-34,,,,,,,,
301-3-34,,,,,,,,
301-3-37,,,,,,,,
301-3-37,,,,,,,,
301-3-37,,,,,,,,
301-3-40,,,,,,,,
301-3-40,,,,,,,,
301-3-40,,,,,,,,
301-3-44,,,,,,,,
301-3-44,,,,,,,,
301-3-44,,,,,,,,
301-3-45,,,,,,,,
301-3-45,,,,,,,,
301-3-45,,,,,,,,
301-3-48,,,,,,,,
301-3-48,,,,,,,,
301-3-48,,,,,,,,
301-4-14,,,,,,,,
301-4-14,,,,,,,,
301-4-14,,,,,,,,
301-4-18,,,,,,,,
301-4-18,,,,,,,,
301-4-18,,,,,,,,
301-4-19,,,,,,,,
301-4-19,,,,,,,,
301-4-19,,,,,,,,
301-4-20,,,,,,,,
301-4-20,,,,,,,,
301-4-20,,,,,,,,
301-4-28,,,,,,,,
301-4-28,,,,,,,,
301-4-28,,,,,,,,
301-4-32,,,,,,,,
301-4-32,,,,,,,,
301-4-32,,,,,,,,
301-4-37,,,,,,,,
301-4-37,,,,,,,,
301-4-37,,,,,,,,
301-4-38,,,,,,,,
301-4-38,,,,,,,,
301-4-38,,,,,,,,
301-4-39,,,,,,,,
301-4-39,,,,,,,,
301-4-39,,,,,,,,
301-4-43,,,,,,,,
301-4-43,,,,,,,,
301-4-43,,,,,,,,
301-5-10,,,,,,,,
301-5-10,,,,,,,,
301-5-10,,,,,,,,
301-5-13,,,,,,,,
301-5-13,,,,,,,,
301-5-13,,,,,,,,
301-5-19,,,,,,,,
301-5-19,,,,,,,,
301-5-19,,,,,,,,
301-5-20,,,,,,,,
301-5-20,,,,,,,,
301-5-20,,,,,,,,
301-5-21,,,,,,,,
301-5-21,,,,,,,,
301-5-21,,,,,,,,
301-5-24,,,,,,,,
301-5-24,,,,,,,,
301-5-24,,,,,,,,
301-5-31,,,,,,,,
301-5-31,,,,,,,,
301-5-31,,,,,,,,
301-5-32,,,,,,,,
301-5-32,,,,,,,,
301-5-32,,,,,,,,
301-5-41,,,,,,,,
301-5-41,,,,,,,,
301-5-41,,,,,,,,
304-1-06,,,,,,,,
304-1-06,,,,,,,,
304-1-06,,,,,,,,
304-1-09,,,,,,,,
304-1-09,,,,,,,,
304-1-09,,,,,,,,
304-1-41,,,,,,,,
304-1-41,,,,,,,,
304-1-41,,,,,,,,
304-2-17,,,,,,,,
304-2-17,,,,,,,,
304-2-17,,,,,,,,
304-2-29,,,,,,,,
304-2-29,,,,,,,,
304-2-29,,,,,,,,
304-3-14,,,,,,,,
304-3-14,,,,,,,,
304-3-14,,,,,,,,
304-4-37,,,,,,,,
304-4-37,,,,,,,,
304-4-37,,,,,,,,
304-5-08,,,,,,,,
304-5-08,,,,,,,,
304-5-08,,,,,,,,
304-5-09,,,,,,,,
304-5-09,,,,,,,,
304-5-09,,,,,,,,
304-5-11,,,,,,,,
304-5-11,,,,,,,,
304-5-11,,,,,,,,
